episode,task,frames,duration_s,final_route_progress,mean_track_error,max_track_error
episode_00046,go_right,399,39.900000000000006,1.0,0.04575430789026128,0.09256299585103989
episode_00047,go_left,400,40.0,1.0,0.028144140926106048,0.09597251564264297
episode_00048,go_left,400,40.0,1.0,0.03286037480516825,0.08284717053174973
episode_00049,go_right,400,40.0,1.0,0.025311330876938883,0.08903365582227707
episode_00050,go_left,405,40.5,1.0,0.046276508688399956,0.08160972595214844
episode_00051,go_right,408,40.800000000000004,1.0,0.02618671902888202,0.08903402090072632
episode_00052,go_left,409,40.900000000000006,1.0,0.026155292851679467,0.08804988861083984
episode_00053,go_left,409,40.900000000000006,1.0,0.03686163158464521,0.08455124497413635
episode_00054,go_right,410,41.0,1.0,0.04466795671458652,0.10314885526895523
episode_00055,go_right,410,41.0,1.0,0.026182990947155503,0.09978000819683075
episode_00056,go_left,410,41.0,1.0,0.026246210997647366,0.09444925934076309
episode_00057,go_right,410,41.0,1.0,0.04240663167069348,0.08184409141540527
episode_00058,go_left,411,41.1,1.0,0.02294584956326592,0.08029109239578247
episode_00059,go_right,412,41.2,1.0,0.04201457957461368,0.09378433227539062
episode_00060,go_right,419,41.900000000000006,1.0,0.0265463712285684,0.0894145593047142
episode_00061,go_right,421,42.1,1.0,0.03160078680591277,0.12071362882852554
episode_00062,go_right,422,42.2,1.0,0.02065048843724071,0.07946062088012695
episode_00063,go_right,324,32.4,1.0,0.03838573550851441,0.18055349588394165
